PeriodID,PolicyTermID,PeriodActiveStartDate,PeriodActiveEndDate,IsCurrentPeriod,WrittenPremium,AdditionalDownPaymentTaken,NewMonthlyPayment,TriggeringEndorsementID,PreviousPeriodID,SpawningEndorsementId
2,2,2018-02-01 04:08:47.000000,2018-02-01 04:09:04.000000,False,189.0,,,2,,2
3,2,2018-02-01 04:09:04.000000,2018-02-01 05:01:53.000000,False,189.0,,,3,2,3
4,2,2018-02-01 05:01:53.000000,2018-02-28 16:36:49.000000,False,189.0,0.0,0.0,4,3,4
707,2,2018-02-28 16:36:49.000000,2018-02-28 16:36:51.000000,False,189.0,0.0,0.0,820,4,820
708,2,2018-02-28 16:36:51.000000,2018-03-28 20:18:39.000000,False,29.2376,,,821,707,821
2533,2,2018-03-28 20:18:39.000000,2018-03-28 20:22:41.000000,False,189.0,,,2861,708,2861
2534,2,2018-03-28 20:22:41.000000,,True,0.0,,,2862,2533,2862
5,3,2018-02-07 14:01:31.000000,2018-02-07 15:27:03.000000,False,409.0,,,6,,6
6,3,2018-02-07 15:27:03.000000,2018-02-07 15:27:05.000000,False,409.0,0.0,0.0,7,5,7
7,3,2018-02-07 15:27:05.000000,,True,0.0,,,9,6,9
